case_id,t1,t1ce,t2,flair,efficiency_gap,full_value,model,seed
BRATS_278,0.031291454436967625,0.40468745770878634,0.06984869205733188,0.30849023788756363,0.0,0.8143178420906495,qmmf,43
BRATS_285,0.17959431714647575,0.24933008954660785,0.2240640388237946,0.15956855485815113,-1.1102230246251565e-16,0.8125570003750294,qmmf,43
BRATS_298,0.10567073961877828,0.3698103679551953,0.11086256227773639,0.2056170332439973,-1.1102230246251565e-16,0.7919607030957073,qmmf,43
BRATS_302,0.0063196796774329725,0.41306603145995713,0.143612062091288,0.11306588644190513,0.0,0.6760636596705832,qmmf,43
BRATS_304,0.055676392661010106,0.4321676414692742,0.14473926234091583,0.19259106273363122,0.0,0.8251743592048314,qmmf,43
BRATS_306,0.11776016501419168,0.2857935605660882,0.1635939308446189,0.2792215897322752,0.0,0.8463692461571739,qmmf,43
BRATS_307,0.10049787025908656,0.267581400921076,0.18715635096705358,0.24838449044951885,0.0,0.803620112596735,qmmf,43
BRATS_318,0.10787660448016453,0.3601184843120274,0.16448489900353727,0.21764402892280243,0.0,0.8501240167185317,qmmf,43
BRATS_322,0.08614603639289724,0.16778340698571556,0.07315318152023642,0.29502946231162597,0.0,0.6221120872104752,qmmf,43
BRATS_325,0.13058692415910014,0.31399277642128176,0.18652160872778004,0.2323889345130436,0.0,0.8634902438212055,qmmf,43
BRATS_326,0.06055474176429262,0.3211918762251691,0.09191545137094395,0.3169568697821663,0.0,0.790618939142572,qmmf,43
BRATS_327,0.1178343213516712,0.428200255522695,0.17074661421167792,0.19224488499353387,0.0,0.909026076079578,qmmf,43
BRATS_336,0.1390499337875105,0.38547961952483845,0.14144853953179973,0.20728258812902348,-1.1102230246251565e-16,0.8732606809731722,qmmf,43
BRATS_342,-0.01813467162230059,0.153943005422222,0.21926301468200243,0.348461438547893,1.1102230246251565e-16,0.7035327870298168,qmmf,43
BRATS_348,0.162325954047529,0.32488464992965604,0.1758081066387937,0.21958362479634516,0.0,0.8826023354123239,qmmf,43
BRATS_354,0.1460504784736041,0.34111138132049773,0.1939055619327024,0.20155163960007572,0.0,0.88261906132688,qmmf,43
BRATS_358,0.13910622929819016,0.2615776584239561,0.15040374127924425,0.17584983411783828,1.1102230246251565e-16,0.7269374631192287,qmmf,43
BRATS_360,0.1282494550916451,0.3644317640541933,0.15644878401425202,0.1871307920417661,1.1102230246251565e-16,0.8362607952018565,qmmf,43
BRATS_374,0.07766964323495244,0.36042361714971693,0.1712509200958606,0.2151835090709272,0.0,0.8245276895514572,qmmf,43
BRATS_384,0.1199347313164665,0.38638216781628354,0.18255971176899533,0.18878665410569082,0.0,0.8776632650074362,qmmf,43
BRATS_391,0.11901824622626611,0.3429082532227433,0.20449946761008253,0.23471336402125736,-1.1102230246251565e-16,0.9011393310803494,qmmf,43
BRATS_393,0.12345476826872366,0.35362701020110654,0.1920262377484658,0.22854430529814873,-1.1102230246251565e-16,0.8976523215164448,qmmf,43
BRATS_396,0.1118755240714779,0.34754204039457215,0.22560036248170098,0.20891010995898276,0.0,0.8939280369067338,qmmf,43
BRATS_403,0.12680161332480622,0.3157286626468675,0.17664938766633806,0.19556646387832397,-1.1102230246251565e-16,0.8147461275163358,qmmf,43
BRATS_414,0.13413763380170704,0.26597495287126666,0.21481796371822626,0.20634835105668,0.0,0.82127890144788,qmmf,43
BRATS_475,0.12699927087918744,0.3004988135628709,0.2417277858208152,0.2116855867842694,0.0,0.8809114570471429,qmmf,43
BRATS_023,0.11400369342375502,0.12449100437175471,0.1442863939004128,0.2130551734954532,0.0,0.5958362651913758,no_quality,43
