model,seed,case_id,group_id,subset,macro_dice
qmmf,43,BRATS_234,sg_332e12d666debe62,t1+t1ce,0.869040330004878
qmmf,43,BRATS_234,sg_332e12d666debe62,t1+t1ce+flair,0.9337942853516957
qmmf,43,BRATS_234,sg_332e12d666debe62,t1+t1ce+t2,0.9217460279793862
qmmf,43,BRATS_234,sg_332e12d666debe62,t1+t1ce+t2+flair,0.942987528382624
qmmf,43,BRATS_234,sg_332e12d666debe62,t1+t2,0.65171274441507
qmmf,43,BRATS_234,sg_332e12d666debe62,t1+t2+flair,0.6894655358434373
qmmf,43,BRATS_234,sg_332e12d666debe62,t1ce,0.8367924034954909
qmmf,43,BRATS_234,sg_332e12d666debe62,t1ce+flair,0.9295258355798263
qmmf,43,BRATS_234,sg_332e12d666debe62,t1ce+t2,0.9095801963744864
qmmf,43,BRATS_234,sg_332e12d666debe62,t1ce+t2+flair,0.9401194056749073
qmmf,43,BRATS_234,sg_332e12d666debe62,t2,0.6221228109155011
qmmf,43,BRATS_234,sg_332e12d666debe62,t2+flair,0.6972485386210323
qmmf,43,BRATS_322,sg_3e3be46d07dde9ba,flair,0.6390472863219164
qmmf,43,BRATS_322,sg_3e3be46d07dde9ba,t1,0.26893028804572194
qmmf,43,BRATS_322,sg_3e3be46d07dde9ba,t1+flair,0.6066780775033457
qmmf,43,BRATS_322,sg_3e3be46d07dde9ba,t1+t1ce,0.3884568576392464
qmmf,43,BRATS_322,sg_3e3be46d07dde9ba,t1+t1ce+flair,0.6619976707015086
qmmf,43,BRATS_322,sg_3e3be46d07dde9ba,t1+t1ce+t2,0.6045560323377992
qmmf,43,BRATS_322,sg_3e3be46d07dde9ba,t1+t1ce+t2+flair,0.6221120872104752
qmmf,43,BRATS_322,sg_3e3be46d07dde9ba,t1+t2,0.391943899787113
qmmf,43,BRATS_322,sg_3e3be46d07dde9ba,t1+t2+flair,0.5635406751528312
qmmf,43,BRATS_322,sg_3e3be46d07dde9ba,t1ce,0.3507742810263929
qmmf,43,BRATS_322,sg_3e3be46d07dde9ba,t1ce+flair,0.6633248735521039
qmmf,43,BRATS_322,sg_3e3be46d07dde9ba,t1ce+t2,0.5499334639785868
qmmf,43,BRATS_322,sg_3e3be46d07dde9ba,t1ce+t2+flair,0.6192906138304993
qmmf,43,BRATS_322,sg_3e3be46d07dde9ba,t2,0.1949228759563322
qmmf,43,BRATS_322,sg_3e3be46d07dde9ba,t2+flair,0.6006732798488386
qmmf,43,BRATS_285,sg_3ffd0110fd8c70a1,flair,0.5051498457870537
qmmf,43,BRATS_285,sg_3ffd0110fd8c70a1,t1,0.5686840063684176
qmmf,43,BRATS_285,sg_3ffd0110fd8c70a1,t1+flair,0.6919529164548462
qmmf,43,BRATS_285,sg_3ffd0110fd8c70a1,t1+t1ce,0.7156246881027236
qmmf,43,BRATS_285,sg_3ffd0110fd8c70a1,t1+t1ce+flair,0.8044101719573731
qmmf,43,BRATS_285,sg_3ffd0110fd8c70a1,t1+t1ce+t2,0.8058792216210815
qmmf,43,BRATS_285,sg_3ffd0110fd8c70a1,t1+t1ce+t2+flair,0.8125570003750294
qmmf,43,BRATS_285,sg_3ffd0110fd8c70a1,t1+t2,0.7130745506384084
qmmf,43,BRATS_285,sg_3ffd0110fd8c70a1,t1+t2+flair,0.7161542339015683
qmmf,43,BRATS_285,sg_3ffd0110fd8c70a1,t1ce,0.6389266719297949
qmmf,43,BRATS_285,sg_3ffd0110fd8c70a1,t1ce+flair,0.7663680313675294
qmmf,43,BRATS_285,sg_3ffd0110fd8c70a1,t1ce+t2,0.7743103925376981
qmmf,43,BRATS_285,sg_3ffd0110fd8c70a1,t1ce+t2+flair,0.7872934071346008
qmmf,43,BRATS_285,sg_3ffd0110fd8c70a1,t2,0.6826352503434103
qmmf,43,BRATS_285,sg_3ffd0110fd8c70a1,t2+flair,0.706416583779344
qmmf,43,BRATS_306,sg_4151cfd07ac3e1b0,flair,0.6163003582243854
qmmf,43,BRATS_306,sg_4151cfd07ac3e1b0,t1,0.3320281592222029
qmmf,43,BRATS_306,sg_4151cfd07ac3e1b0,t1+flair,0.6679695638577204
qmmf,43,BRATS_306,sg_4151cfd07ac3e1b0,t1+t1ce,0.5495999511937821
qmmf,43,BRATS_306,sg_4151cfd07ac3e1b0,t1+t1ce+flair,0.8345678167991609
qmmf,43,BRATS_306,sg_4151cfd07ac3e1b0,t1+t1ce+t2,0.8114810037079255
qmmf,43,BRATS_306,sg_4151cfd07ac3e1b0,t1+t1ce+t2+flair,0.8463692461571739
qmmf,43,BRATS_306,sg_4151cfd07ac3e1b0,t1+t2,0.6091885748700613
qmmf,43,BRATS_306,sg_4151cfd07ac3e1b0,t1+t2+flair,0.707005210770309
qmmf,43,BRATS_306,sg_4151cfd07ac3e1b0,t1ce,0.537470962050521
qmmf,43,BRATS_306,sg_4151cfd07ac3e1b0,t1ce+flair,0.8322942730842259
qmmf,43,BRATS_306,sg_4151cfd07ac3e1b0,t1ce+t2,0.7713925790117409
qmmf,43,BRATS_306,sg_4151cfd07ac3e1b0,t1ce+t2+flair,0.8423982379135878
qmmf,43,BRATS_306,sg_4151cfd07ac3e1b0,t2,0.35234553618272413
qmmf,43,BRATS_306,sg_4151cfd07ac3e1b0,t2+flair,0.6648839348724286
qmmf,43,BRATS_027,sg_4267e6ff34e2e7aa,flair,0.8371737954486562
qmmf,43,BRATS_027,sg_4267e6ff34e2e7aa,t1,0.41602453980923526
qmmf,43,BRATS_027,sg_4267e6ff34e2e7aa,t1+flair,0.8187299676711957
qmmf,43,BRATS_027,sg_4267e6ff34e2e7aa,t1+t1ce,0.5132042288966906
qmmf,43,BRATS_027,sg_4267e6ff34e2e7aa,t1+t1ce+flair,0.7591215663455457
qmmf,43,BRATS_027,sg_4267e6ff34e2e7aa,t1+t1ce+t2,0.7832306838863354
qmmf,43,BRATS_027,sg_4267e6ff34e2e7aa,t1+t1ce+t2+flair,0.8340964459971413
qmmf,43,BRATS_027,sg_4267e6ff34e2e7aa,t1+t2,0.835887888057544
qmmf,43,BRATS_027,sg_4267e6ff34e2e7aa,t1+t2+flair,0.8717509292184349
