model,case_id,subset,group_id,n_modalities,macro_dice
qmmf,BRATS_413,t1+t1ce+t2+flair,sg_3b44f65ab67602cc,4,0.0354047507269744
qmmf,BRATS_413,t1+t2,sg_3b44f65ab67602cc,2,0.00938746639847526
qmmf,BRATS_413,t1+t2+flair,sg_3b44f65ab67602cc,3,0.03345263729229368
qmmf,BRATS_413,t1ce,sg_3b44f65ab67602cc,1,0.024816362670089544
qmmf,BRATS_413,t1ce+flair,sg_3b44f65ab67602cc,2,0.05382760900611094
qmmf,BRATS_413,t1ce+t2,sg_3b44f65ab67602cc,2,0.028484230539968375
qmmf,BRATS_413,t1ce+t2+flair,sg_3b44f65ab67602cc,3,0.05088219039789333
qmmf,BRATS_413,t2,sg_3b44f65ab67602cc,1,0.01799963834065804
qmmf,BRATS_413,t2+flair,sg_3b44f65ab67602cc,2,0.051223044267679346
qmmf,BRATS_441,flair,sg_baba356c1735c37c,1,0.28279756845861176
qmmf,BRATS_441,t1,sg_baba356c1735c37c,1,0.014157138405386094
qmmf,BRATS_441,t1+flair,sg_baba356c1735c37c,2,0.22175788004388594
qmmf,BRATS_441,t1+t1ce,sg_baba356c1735c37c,2,0.061579662482009266
qmmf,BRATS_441,t1+t1ce+flair,sg_baba356c1735c37c,3,0.20726805381578198
qmmf,BRATS_441,t1+t1ce+t2,sg_baba356c1735c37c,3,0.13207997975041819
qmmf,BRATS_441,t1+t1ce+t2+flair,sg_baba356c1735c37c,4,0.2426027959709076
qmmf,BRATS_441,t1+t2,sg_baba356c1735c37c,2,0.10737398636780715
qmmf,BRATS_441,t1+t2+flair,sg_baba356c1735c37c,3,0.25332248201679614
qmmf,BRATS_441,t1ce,sg_baba356c1735c37c,1,0.07535644229627132
qmmf,BRATS_441,t1ce+flair,sg_baba356c1735c37c,2,0.2376447254820053
qmmf,BRATS_441,t1ce+t2,sg_baba356c1735c37c,2,0.16333661604266383
qmmf,BRATS_441,t1ce+t2+flair,sg_baba356c1735c37c,3,0.2612712103418036
qmmf,BRATS_441,t2,sg_baba356c1735c37c,1,0.142976892786117
qmmf,BRATS_441,t2+flair,sg_baba356c1735c37c,2,0.2669868508360579
hemis,BRATS_021,flair,sg_8a56096263e207fc,1,0.1393406428215752
hemis,BRATS_021,t1,sg_8a56096263e207fc,1,0.0030030743874996037
hemis,BRATS_021,t1+flair,sg_8a56096263e207fc,2,0.06014802416065398
hemis,BRATS_021,t1+t1ce,sg_8a56096263e207fc,2,0.034763883469447934
hemis,BRATS_021,t1+t1ce+flair,sg_8a56096263e207fc,3,0.05622134493513628
