model,case_id,t1,t1ce,t2,flair,efficiency_gap,full_value
no_consistency,BRATS_413,0.0985177373904756,0.3285256894960136,0.1533175550482292,0.1892963424600571,1.1102230246251565e-16,0.7696573243947754
no_consistency,BRATS_430,0.08607816640254083,0.45771813335776956,0.15817746977513175,0.10138711546484376,0.0,0.8033608850002859
no_consistency,BRATS_441,0.11084736729060587,0.39860806534107807,0.18202072464035768,0.14734381174593655,0.0,0.8388199690179782
no_consistency,BRATS_484,0.14808468592000498,0.3616878877995703,0.1623424119395954,0.22742321379998517,-1.1102230246251565e-16,0.8995381994591559
shuffled_quality,BRATS_021,0.10515882956253227,0.22627842082084812,0.26227172544725974,0.17961807038982397,0.0,0.7733270462204641
shuffled_quality,BRATS_111,0.09581348570678715,0.44029164629102774,0.14335395367568848,0.24775820795009787,0.0,0.9272172936236013
shuffled_quality,BRATS_172,0.15151227708073195,0.3849405236048077,0.19925188122652435,0.20066971956771587,1.1102230246251565e-16,0.9363744014797798
shuffled_quality,BRATS_219,0.16435447461002484,0.3420760843676801,0.1850576262508864,0.19962612524393086,0.0,0.8911143104725222
shuffled_quality,BRATS_230,0.11253099702625985,0.2421967770744648,0.21803982463373225,0.11639348781698902,0.0,0.6891610865514459
shuffled_quality,BRATS_258,-0.004574873798881166,0.498748462513959,0.13686734133596853,0.25411585722693525,0.0,0.8851567872779816
shuffled_quality,BRATS_324,0.07380821804167752,0.47440975038868116,0.08161299717929085,0.15341650626786382,0.0,0.7832474718775133
shuffled_quality,BRATS_335,0.09138679737681309,0.33127550445045817,0.18255638775363986,0.21177054846784568,0.0,0.8169892380487568
shuffled_quality,BRATS_338,0.03504211175564991,0.338607243950659,0.13599064855934231,0.22232324720600008,0.0,0.7319632514716513
shuffled_quality,BRATS_367,0.0896077916743838,0.3914026963547499,0.11465246269650536,0.24325373460736358,1.1102230246251565e-16,0.8389166853330026
shuffled_quality,BRATS_369,0.15307588262964836,0.2365901278238787,0.21308053293684812,0.20324293928984744,0.0,0.8059894826802226
shuffled_quality,BRATS_404,-0.0006488531246013739,0.3345345246754068,0.24117678694759637,0.20861314483675747,0.0,0.7836756033351593
shuffled_quality,BRATS_413,0.1553682608400411,0.43413152805605326,0.1429490174060837,0.1404224425249101,1.1102230246251565e-16,0.8728712488270881
shuffled_quality,BRATS_430,0.061452265184117914,0.4665869977008543,0.1595211504431287,0.07020420879316673,0.0,0.7577646221212677
shuffled_quality,BRATS_441,0.09716061236580037,0.4350430154038258,0.14670733673137876,0.15749526372037786,0.0,0.8364062282213828
shuffled_quality,BRATS_484,0.15799784246340956,0.348810490464668,0.22136433531407715,0.18199564938503823,0.0,0.910168317627193
matched_moment_fusion,BRATS_021,0.11440724971760058,0.15950453848549923,0.25763532462927186,0.18268392638752246,-1.1102230246251565e-16,0.7142310392198942
matched_moment_fusion,BRATS_111,0.1318227576418205,0.402553611445986,0.15156061302066684,0.22453939275216978,0.0,0.9104763748606431
matched_moment_fusion,BRATS_172,0.16260102761263473,0.374922135789036,0.19752915313413372,0.20496402016767667,0.0,0.9400163367034811
matched_moment_fusion,BRATS_219,0.15561316663645716,0.39093215533006853,0.16519734658692978,0.18743219369732814,0.0,0.8991748622507836
matched_moment_fusion,BRATS_230,0.12321935947693168,0.19495769866807894,0.20020768416916,0.07600359837260003,0.0,0.5943883406867706
matched_moment_fusion,BRATS_258,0.0338125579680913,0.44587886913680375,0.17706690160537206,0.23062362918447032,0.0,0.8873819578947374
matched_moment_fusion,BRATS_324,0.07141002781870841,0.4812077809451824,0.11054467037060652,0.12666902773977587,0.0,0.7898315068742732
matched_moment_fusion,BRATS_335,0.10859693119522648,0.33271030150606207,0.17182317861882307,0.21677751701928313,0.0,0.8299079283393948
matched_moment_fusion,BRATS_338,0.04685206565420999,0.29829415103596185,0.11312259642699245,0.22635772079388647,0.0,0.6846265339110508
matched_moment_fusion,BRATS_367,0.10855543863400385,0.382544576327242,0.1686301006018196,0.21499996555088136,0.0,0.8747300811139468
matched_moment_fusion,BRATS_369,0.14831611432368455,0.30577780396136556,0.19806726168185557,0.18847314136594012,0.0,0.8406343213328458
matched_moment_fusion,BRATS_404,0.03296556498921696,0.2405616320962503,0.26132780650161724,0.2267731908805072,0.0,0.7616281944675918
matched_moment_fusion,BRATS_413,0.11442322625853353,0.35392904568068545,0.13771532108063464,0.18895302405152326,0.0,0.7950206170713768
matched_moment_fusion,BRATS_430,0.08768853009680974,0.44792463192637155,0.15719575660809912,0.11140197010527926,0.0,0.8042108887365597
matched_moment_fusion,BRATS_441,0.11822462486187227,0.40121442225920034,0.160793655992634,0.1466466358664522,0.0,0.8268793389801589
matched_moment_fusion,BRATS_484,0.1565983372761612,0.348099398634786,0.14419069040629542,0.2487539897909392,0.0,0.8976424161081819
