model,case_id,subset,group_id,n_modalities,macro_dice
qmmf,BRATS_335,flair,sg_1dd2f970abd2e8ef,1,0.617958901438518
qmmf,BRATS_335,t1,sg_1dd2f970abd2e8ef,1,0.4018440820945584
qmmf,BRATS_335,t1+flair,sg_1dd2f970abd2e8ef,2,0.6334480460912172
qmmf,BRATS_335,t1+t1ce,sg_1dd2f970abd2e8ef,2,0.7160498613955264
qmmf,BRATS_335,t1+t1ce+flair,sg_1dd2f970abd2e8ef,3,0.8301720037354895
qmmf,BRATS_335,t1+t1ce+t2,sg_1dd2f970abd2e8ef,3,0.8040166928811786
qmmf,BRATS_335,t1+t1ce+t2+flair,sg_1dd2f970abd2e8ef,4,0.8291005110133988
qmmf,BRATS_335,t1+t2,sg_1dd2f970abd2e8ef,2,0.5843358371710828
qmmf,BRATS_335,t1+t2+flair,sg_1dd2f970abd2e8ef,3,0.6446128355017189
qmmf,BRATS_335,t1ce,sg_1dd2f970abd2e8ef,1,0.6763100798976308
qmmf,BRATS_335,t1ce+flair,sg_1dd2f970abd2e8ef,2,0.8261764076332266
qmmf,BRATS_335,t1ce+t2,sg_1dd2f970abd2e8ef,2,0.7958730261843495
qmmf,BRATS_335,t1ce+t2+flair,sg_1dd2f970abd2e8ef,3,0.8254420730145196
qmmf,BRATS_335,t2,sg_1dd2f970abd2e8ef,1,0.5585201101376466
qmmf,BRATS_335,t2+flair,sg_1dd2f970abd2e8ef,2,0.6424159262176253
qmmf,BRATS_338,flair,sg_602726c0ba192496,1,0.33646451470716104
qmmf,BRATS_338,t1,sg_602726c0ba192496,1,0.15848093903255842
qmmf,BRATS_338,t1+flair,sg_602726c0ba192496,2,0.35774342819617416
qmmf,BRATS_338,t1+t1ce,sg_602726c0ba192496,2,0.30864526529276076
qmmf,BRATS_338,t1+t1ce+flair,sg_602726c0ba192496,3,0.7312641551850106
qmmf,BRATS_338,t1+t1ce+t2,sg_602726c0ba192496,3,0.6039073029048829
qmmf,BRATS_338,t1+t1ce+t2+flair,sg_602726c0ba192496,4,0.7198470007608994
qmmf,BRATS_338,t1+t2,sg_602726c0ba192496,2,0.2701103950895704
qmmf,BRATS_338,t1+t2+flair,sg_602726c0ba192496,3,0.35081348032733595
