model,seed,fold,epochs,patience,size,batch,split_hash,protocol,macro_f1,accuracy,balanced_accuracy,sensitivity,specificity,auroc,average_precision,brier,log_loss,config_hash,best_epoch,epochs_run,inner_validation_macro_f1,parameters,wall_seconds,peak_gpu_gb
no_attention_no_multiscale,42,1,60,12,128,32,008b31e71f5e86fec4d98c728fe7095038810e3eb509d56355f9c7eff86194b3,classification-v2,0.656140350877193,0.673469387755102,0.6901960784313725,0.6470588235294118,0.7333333333333333,0.8196078431372549,0.8954809450322223,0.19970706916706019,0.5767403072970337,46f0f8f4984ad15cbf096acd6ca72e33609c267b57bc2b0455c1856d38f2ba90,23,35,0.8528174936921783,328306,3.3461424759999545,0.18642711639404297
no_augmentation,42,1,60,12,128,32,008b31e71f5e86fec4d98c728fe7095038810e3eb509d56355f9c7eff86194b3,classification-v2,0.6131578947368421,0.6326530612244898,0.642156862745098,0.6176470588235294,0.6666666666666666,0.7254901960784313,0.824061885692715,0.23735241957688227,0.6845738984380524,109dd36ae31cdd8c88ff26425b5786ec1665b13e581cc891182f2b31ff7bc253,11,23,0.8164335664335665,338170,2.9213439769999923,0.2008962631225586
plain_cnn,42,1,60,12,128,32,008b31e71f5e86fec4d98c728fe7095038810e3eb509d56355f9c7eff86194b3,classification-v2,0.6847426470588236,0.7142857142857143,0.7009803921568627,0.7352941176470589,0.6666666666666666,0.8254901960784313,0.8868164188360594,0.16384427537848245,0.4986638417302477,a6f91e02be9da9aa38a6ceace0e5629c48ab4a79ebc8bd6e5d0984783362aea1,42,54,0.9028677150786308,261874,3.699156304999974,0.19661283493041992
narrow_resnet_gn,42,1,60,12,128,32,008b31e71f5e86fec4d98c728fe7095038810e3eb509d56355f9c7eff86194b3,classification-v2,0.6805736636245111,0.6938775510204082,0.723529411764706,0.6470588235294118,0.8,0.8235294117647058,0.9150229195933145,0.245566787972052,0.8018895566231441,353384236364805ef2e335d193975048882a032a60ad1db3476bf82280fdf453,19,31,0.8809523809523809,700786,2.9134006929999714,0.10411930084228516
full,42,2,60,12,128,32,008b31e71f5e86fec4d98c728fe7095038810e3eb509d56355f9c7eff86194b3,classification-v2,0.7727272727272727,0.8222222222222222,0.7608173076923077,0.90625,0.6153846153846154,0.8701923076923077,0.9423892437528576,0.12712412443604704,0.40566775811618316,cc89112ea071f9f6c68519181cf383b23ed22d8fe0d3e6196d54e6f07095b4e2,20,32,0.8435828877005347,338170,4.271031772000015,0.2008962631225586
no_attention,42,2,60,12,128,32,008b31e71f5e86fec4d98c728fe7095038810e3eb509d56355f9c7eff86194b3,classification-v2,0.8061538461538462,0.8444444444444444,0.7992788461538461,0.90625,0.6923076923076923,0.9182692307692307,0.9630331718876168,0.10638366950458177,0.33564317597821186,845ef228eff37002e717d43b16c70fbc86b946a6fdd37ff4c30ae55679a6362b,30,42,0.8186046511627907,328306,4.040326386000061,0.18642711639404297
no_multiscale,42,2,60,12,128,32,008b31e71f5e86fec4d98c728fe7095038810e3eb509d56355f9c7eff86194b3,classification-v2,0.6801530891197376,0.7111111111111111,0.7055288461538461,0.71875,0.6923076923076923,0.8653846153846154,0.9317780658109693,0.15102490915243777,0.46241986003582797,faed155a0ae863f58f2bd4104afb8a61a3f79a349cfbd8d35f6defd560c9bb59,21,33,0.8661633493479752,338170,4.31746315700002,0.2008962631225586
no_attention_no_multiscale,42,2,60,12,128,32,008b31e71f5e86fec4d98c728fe7095038810e3eb509d56355f9c7eff86194b3,classification-v2,0.6889952153110048,0.7111111111111111,0.7283653846153846,0.6875,0.7692307692307693,0.8966346153846154,0.9557739893186803,0.1536331531065069,0.4739260839878101,c758ba8c792e05babb163d05e4e1f1bacefeb37358a22bfea18d612a5c4ecd34,21,33,0.7914438502673797,328306,3.1349385510000047,0.18642711639404297
no_augmentation,42,2,60,12,128,32,008b31e71f5e86fec4d98c728fe7095038810e3eb509d56355f9c7eff86194b3,classification-v2,0.6889952153110048,0.7111111111111111,0.7283653846153846,0.6875,0.7692307692307693,0.8581730769230769,0.9402712895909049,0.17487768332213485,0.5282911443223046,69f51c094ba1ffef2d211cd05233116c91273dd84587ba54578671c34b581cd9,9,21,0.7880434782608696,338170,2.731949771000018,0.2008962631225586
plain_cnn,42,2,60,12,128,32,008b31e71f5e86fec4d98c728fe7095038810e3eb509d56355f9c7eff86194b3,classification-v2,0.6309458720612356,0.6666666666666666,0.6514423076923077,0.6875,0.6153846153846154,0.78125,0.8745826616152872,0.19408969663055317,0.5716671501711008,d631cc11631c2e01cdfa6901bd49e368b24cd4d1b77fa745f64afcc1accb579e,22,34,0.8186046511627907,261874,2.3162363629999163,0.19661283493041992
