epoch,dice,bce,seg,boundary,nested,deep_supervision,total,epoch_seconds,lr,val_full_macro_dice,val_mean_subset_macro_dice,val_worst_subset_macro_dice,val_macro_dice::t1+t1ce+t2+flair,val_macro_dice::t1+t2+flair,val_macro_dice::t1+t1ce+t2,selection_score
22,0.7632165166735649,0.03575792765244842,0.47223309755325316,0.7709113883972168,0.0013423341669840739,0.3199684602022171,0.8693598139286042,22.754301150000174,0.0002838381357927591,,,,,,,
23,0.7739905127882958,0.03258266791701317,0.4774273931980133,0.7901558899879455,0.0010061384394066408,0.3257445703446865,0.8822378584742546,21.602280294000593,0.00028192106268097334,,,,,,,
24,0.7754889091849327,0.028521987404674293,0.4767021605372429,0.7766278114914894,0.000877287226030603,0.3288840030133724,0.8832928121089936,22.28721915999995,0.0002799038105676658,,,,,,,
25,0.7848373666405678,0.026325795529410244,0.48143275499343874,0.7736243405938148,0.0007571083327638917,0.33360729947686196,0.8924403417110444,22.22623512899918,0.000277787911325749,,,,,,,
26,0.7444185546040535,0.02814756294712424,0.45791017591953276,0.7823628914356232,0.0005894418971729465,0.3174698710441589,0.85364580899477,22.119300786998792,0.00027557497173937923,,,,,,,
27,0.7726345720887184,0.026785189039073884,0.47429483830928804,0.795933290719986,0.0005233127066458109,0.3325380399823189,0.8864523720741272,22.973568850999072,0.00027326667228378673,,,,,,,
28,0.7638415083289146,0.027159918248653412,0.46916889131069184,0.7927389019727706,0.00044557234010426326,0.3276727491617203,0.8761378067731858,22.848319671000354,0.0002708647658491467,,,,,,,
29,0.741445027589798,0.02811665221117437,0.4561136946082115,0.8157630833983421,0.00041305755599751136,0.32099542051553726,0.8587060838937759,22.232740569999805,0.00026837107640945905,0.6733915509978313,0.5672295030418918,0.42332761609666664,0.6733915509978313,0.4568712539004966,0.5714257042273475,0.616536543120933
30,0.7389540264010429,0.026102915578521787,0.45381360039114954,0.7840467202663421,0.0003657419119917904,0.3188545505702496,0.8510911107063294,21.876370211000904,0.0002657874976374481,,,,,,,
31,0.749265249967575,0.023526010774075984,0.4589695696532726,0.7787420454621315,0.0002738720601337263,0.32552226714789867,0.8623797357082367,25.88257723999959,0.00026311599146653443,,,,,,,
