epoch,dice,bce,seg,boundary,nested,total,epoch_seconds,lr,val_full_macro_dice,val_mean_subset_macro_dice,val_worst_subset_macro_dice,val_macro_dice::t1+t1ce+t2+flair,val_macro_dice::t1+t2+flair,val_macro_dice::t1+t1ce+t2,selection_score,consistency
23,0.8138546293973923,0.0462340422347188,0.5068064165115357,0.8172492671012879,0.0006236736534629017,0.5907742956280708,24.559830730000158,0.00028192106268097334,,,,,,,,0.011058823149651289
24,0.8259025156497956,0.04156798280775547,0.5121687248349189,0.8042865669727326,0.0006255423923721537,0.5942134243249894,24.53848316099993,0.0002799038105676658,,,,,,,,0.007923826999031007
25,0.8156502360105514,0.04383450720459223,0.5069239634275436,0.8145630186796189,0.00048478859673195985,0.5898338800668717,24.71530596299999,0.000277787911325749,,,,,,,,0.007146851681172847
26,0.8112568819522857,0.04055248596705496,0.5029751437902451,0.8267572844028472,0.0003432733842782909,0.586955863237381,25.149174068000093,0.00027557497173937923,,,,,,,,0.006439152783714235
27,0.8125064080953598,0.03957037925720215,0.5033320185542106,0.8364181196689606,0.00038764047021686563,0.5880863791704178,25.259828455999923,0.00027326667228378673,,,,,,,,0.005465845824219286
28,0.8162114781141281,0.03738564197905361,0.5046811676025391,0.8098279732465744,0.0003192051905352855,0.5866347056627274,23.655543018000117,0.0002708647658491467,,,,,,,,0.004773911768570543
29,0.7969962212443352,0.035971330329775814,0.49258628994226455,0.8192540973424911,0.0004559120914200321,0.5753417745232582,24.25191579899979,0.00026837107640945905,0.48962678221400097,0.4393619913448466,0.34559727411776,0.48962678221400097,0.35425625413362644,0.47420293768691235,0.4601443941436305,0.004036389789544046
30,0.8030495551228524,0.03724737125448883,0.4967286974191666,0.8423284775018692,0.00040230075326689983,0.5817170289158821,20.451523550000047,0.0002657874976374481,,,,,,,,0.0036768450518138707
31,0.795546652674675,0.037635788032785056,0.4923823291063309,0.8423228907585144,0.00021280928272972234,0.577272869348526,20.465735419999874,0.00026311599146653443,,,,,,,,0.003238073787651956
32,0.8020780116319657,0.038421151898801326,0.49661528795957566,0.8336968487501144,0.00022163891546369996,0.5806027993559837,21.300343926000096,0.0002603585866009697,,,,,,,,0.003033721522660926
