group_id,qmmf,no_quality,hemis,unet25d,qmmf_minus_no_quality
sg_b22b67d112cc5d1a,0.6941620757859467,0.7163416222395256,0.5341935047312183,0.7242807034828326,-0.02217954645357889
sg_b631751e1743212d,0.7975480709108833,0.7998394488951451,0.6934689401093839,0.7733582812815749,-0.002291377984261822
sg_b8270589d730933f,0.9083393389515182,0.9090069330557502,0.8681345115545063,0.8961342821106152,-0.0006675941042320055
sg_ba3a8080940b073a,0.8852842850177637,0.8945331456138684,0.8130408875247106,0.8876820013132088,-0.009248860596104747
sg_ba92e4f1c3218b3e,0.555747687719019,0.5864123002431718,0.5254060026886335,0.5679873641104466,-0.030664612524152868
sg_c12d4b1240c5accb,0.41570970570938665,0.40176337926432865,0.3526970285772593,0.395545981544168,0.013946326445058
sg_d72cc5be6db7b3ed,0.8390861331338693,0.8459435373856835,0.7630797578305173,0.8012819648074494,-0.0068574042518142475
sg_d7b9b04ec447b240,0.8294943409851087,0.8394395479922171,0.7130706949209151,0.8188229226589354,-0.009945207007108436
sg_d94777b27d97ed81,0.6927337507777271,0.7152601635766649,0.5423163383806685,0.649220917018249,-0.022526412798937745
sg_eba0e4eedce19b2a,0.73218684186193,0.7260802463007537,0.5670296507256444,0.7221292369024853,0.006106595561176209
sg_edd8bce225d29352,0.9236789352626972,0.9240965951363131,0.8406020175591747,0.9077122632156303,-0.000417659873615972
sg_f05f74ccf0cb9cd0,0.8103898606746043,0.8216132563228434,0.7775640048081404,0.8228017033803843,-0.011223395648239154
sg_f0dec3098c35e293,0.6756488720748169,0.6938716558443337,0.5600919962487747,0.6582245721278981,-0.018222783769516804
sg_f68c66cac443ae9a,0.9092079244538557,0.9091255754196367,0.8194270166171972,0.8936464802026896,8.234903421899809e-05
