model,seed,curve,x,y
full,42,PR,0.9929078014184397,0.6511627906976745
full,42,PR,0.9858156028368794,0.6495327102803738
full,42,PR,0.9858156028368794,0.6525821596244131
full,42,PR,0.9858156028368794,0.6556603773584906
full,42,PR,0.9858156028368794,0.6587677725118484
full,42,PR,0.9858156028368794,0.6619047619047619
full,42,PR,0.9858156028368794,0.6650717703349283
full,42,PR,0.9858156028368794,0.6682692307692307
full,42,PR,0.9858156028368794,0.6714975845410628
full,42,PR,0.9858156028368794,0.6747572815533981
full,42,PR,0.9858156028368794,0.6780487804878049
full,42,PR,0.9858156028368794,0.6813725490196079
full,42,PR,0.9858156028368794,0.6847290640394089
full,42,PR,0.9787234042553191,0.6831683168316832
full,42,PR,0.9787234042553191,0.6865671641791045
full,42,PR,0.9787234042553191,0.69
full,42,PR,0.9787234042553191,0.6934673366834171
full,42,PR,0.9716312056737588,0.6919191919191919
full,42,PR,0.9716312056737588,0.6954314720812182
full,42,PR,0.9716312056737588,0.6989795918367347
full,42,PR,0.9645390070921985,0.6974358974358974
full,42,PR,0.9645390070921985,0.7010309278350515
full,42,PR,0.9574468085106383,0.6994818652849741
full,42,PR,0.9574468085106383,0.703125
full,42,PR,0.950354609929078,0.7015706806282722
full,42,PR,0.950354609929078,0.7052631578947368
full,42,PR,0.9432624113475178,0.7037037037037037
full,42,PR,0.9432624113475178,0.7074468085106383
full,42,PR,0.9432624113475178,0.7112299465240641
full,42,PR,0.9361702127659575,0.7096774193548387
full,42,PR,0.9361702127659575,0.7135135135135136
full,42,PR,0.9361702127659575,0.717391304347826
full,42,PR,0.9361702127659575,0.7213114754098361
full,42,PR,0.9361702127659575,0.7252747252747253
full,42,PR,0.9290780141843972,0.7237569060773481
full,42,PR,0.9219858156028369,0.7222222222222222
full,42,PR,0.9219858156028369,0.7262569832402235
full,42,PR,0.9219858156028369,0.7303370786516854
full,42,PR,0.9148936170212766,0.7288135593220338
full,42,PR,0.9148936170212766,0.7329545454545454
full,42,PR,0.9148936170212766,0.7371428571428571
full,42,PR,0.9078014184397163,0.735632183908046
full,42,PR,0.900709219858156,0.7341040462427746
full,42,PR,0.8936170212765957,0.7325581395348837
full,42,PR,0.8936170212765957,0.7368421052631579
full,42,PR,0.8865248226950354,0.7352941176470589
full,42,PR,0.8865248226950354,0.7396449704142012
full,42,PR,0.8794326241134752,0.7380952380952381
full,42,PR,0.8723404255319149,0.7365269461077845
full,42,PR,0.8652482269503546,0.7349397590361446
full,42,PR,0.8581560283687943,0.7333333333333333
full,42,PR,0.8581560283687943,0.7378048780487805
full,42,PR,0.8581560283687943,0.7423312883435583
full,42,PR,0.851063829787234,0.7407407407407407
full,42,PR,0.851063829787234,0.7453416149068323
full,42,PR,0.851063829787234,0.75
full,42,PR,0.8439716312056738,0.7484276729559748
full,42,PR,0.8439716312056738,0.7531645569620253
full,42,PR,0.8439716312056738,0.7579617834394905
full,42,PR,0.8368794326241135,0.7564102564102564
full,42,PR,0.8368794326241135,0.7612903225806451
full,42,PR,0.8368794326241135,0.7662337662337663
full,42,PR,0.8368794326241135,0.7712418300653595
full,42,PR,0.8368794326241135,0.7763157894736842
full,42,PR,0.8368794326241135,0.7814569536423841
full,42,PR,0.8368794326241135,0.7866666666666666
full,42,PR,0.8297872340425532,0.785234899328859
full,42,PR,0.8297872340425532,0.7905405405405406
full,42,PR,0.8226950354609929,0.7891156462585034
full,42,PR,0.8226950354609929,0.7945205479452054
full,42,PR,0.8156028368794326,0.7931034482758621
full,42,PR,0.8085106382978723,0.7916666666666666
full,42,PR,0.8085106382978723,0.7972027972027972
full,42,PR,0.8085106382978723,0.8028169014084507
